"gender","genderLooking","age","name","counts_details","counts_pictures","counts_profileVisits","counts_kisses","counts_fans","counts_g","flirtInterests_chat","flirtInterests_friends","flirtInterests_date","country","city","location","distance","isFlirtstar","isHighlighted","isInfluencer","isMobile","isNew","isOnline","isVip","lang_count","lang_fr","lang_en","lang_de","lang_it","lang_es","lang_pt","verified","shareProfileEnabled","lastOnlineDate","lastOnlineTime","birthd","crypt","freetext","whazzup","userId","pictureId","isSystemProfile","country_full","country_pop"
FALSE,"M",25,"daeni",1,4,8279,239,0,3,TRUE,TRUE,TRUE,"CH","Rothenburg","Rümlang",175,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-25 20:43:26,1429994606,0,NA,"Nur tote Fisch schwimmen mit dem Strom","Nur tote fische schwimmen mit dem strom","4e3842f79b70e7ea57000064","55303fc3160ba0eb728b4575",NA,"Switzerland",8849850
FALSE,"M",22,"italiana 92",0.85,5,663,13,0,0,TRUE,TRUE,TRUE,"CH","Sissach","Sissach",138,0,0,0,1,0,0,0,3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,1,2015-04-26 09:19:35,1430039975,0,NA,NA,"Primaveraaa<3","4e3d34bf5d2bce7b160006a3","552e7b61c66da10d1e8b4c82",NA,"Switzerland",8849850
FALSE,"M",21,"Lauraaa",0,4,1369,88,0,2,FALSE,FALSE,TRUE,"CH","Bâle","Bâle",137,0,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2015-04-06 14:24:07,1428330247,0,NA,NA,NA,"4ec96c090dc82cb25d00000a","54a584ecc56da128638b4674",NA,"Switzerland",8849850
FALSE,"none",20,"Qqkwmdowlo",0.12,3,22187,1015,2,3,TRUE,TRUE,FALSE,"CA","Montréal","Berne",77.3,0,0,0,0,0,0,0,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,1,2015-04-07 11:21:01,1428405661,0,NA,NA,"Je pense donc je suis.  Instagram quedev","4eef8b81ebf2c8f64000000c","54c92738076ea1b5338b4735",NA,"Canada",40097760
FALSE,"M",21,"schaessie {3",0.15,12,35262,1413,9,12,TRUE,FALSE,FALSE,"DE","Rastatt","Rastatt",286,0,0,0,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-06 14:25:20,1428330320,0,NA,NA,"Instagram: JESSSIESCH","4ef3cc5aa9d0b3d07d000017","54e1a6f6c76da135748b4a3a",NA,"Germany",84482270
FALSE,"M",24,"Baby dee",0.81,18,7339,180,0,2,TRUE,FALSE,TRUE,"DE","Titisee-Neustadt","Titisee-Neustadt",194,0,0,0,1,0,1,0,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-08 14:37:51,1428503871,0,NA,NA,"Wicked Wonderland💕❤️","4ef9434cca61bece6a000002","54f2b4ce0b6ea1177e8b4d18",NA,"Germany",84482270
FALSE,"none",24,"Anna",0.65,13,18672,492,0,1,FALSE,TRUE,FALSE,"DE","Stuttgart","Stuttgart",318,0,0,0,1,0,1,0,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-27 19:29:58,1430162998,0,NA,NA,"💚 ✅ Instagram : anna_lem0n","4f10cbc1883fa97a5f000015","54ecbb39170ba08b488b4aa5",NA,"Germany",84482270
FALSE,"M",23,"Feelinchen",0.81,6,19091,1348,0,20,TRUE,FALSE,TRUE,"DE","Eisenhüttenstadt","Bad Krozingen",175,0,0,0,1,0,0,0,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,2015-04-08 14:18:11,1428502691,0,NA,NA,"🌸🗻🌸","4f317525883fa9636900000e","54fc1786170ba041758b4577",NA,"Germany",84482270
FALSE,"M",20,"chantal",0.88,14,29984,2389,10,11,TRUE,TRUE,TRUE,"CH","Gstaad","Steffisburg",81.4,0,0,0,1,0,0,0,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-07 20:01:55,1428436915,0,NA,NA,"🙊🙉🙈","4f3516420c84d3dd23000001","550c8310066ea13f808b4b35",NA,"Switzerland",8849850
FALSE,"M",24,"rina1990",0.81,1,5979,147,1,2,TRUE,TRUE,TRUE,"DE","Stuttgart","Stuttgart",315,0,0,0,0,0,1,0,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-06 16:10:49,1428336649,0,NA,NA,":-)","4fa0fb54883fa90e0d0005d6","53745af3150ba023158b4588",NA,"Germany",84482270
FALSE,"M",22,"anniwhat",0.54,3,10450,421,2,4,TRUE,TRUE,FALSE,"FR","Bad Bellingen","Bad Bellingen",148,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-26 11:23:41,1430047421,0,NA,NA,"live louder and laught longer ♡","4fb4198f883fa90e04000031","53eb2d41ea6da1bb178b4aa0",NA,"France",68170230
FALSE,"both",20,"Pierrette",0.92,5,2612,117,0,0,TRUE,TRUE,FALSE,"CH","Basel","Liestal",136,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-08 14:34:25,1428503665,0,NA,NA,"kamehameha","4fc51294ca61be3762000155","5501ff6bcc6da1e21e8b45b5",NA,"Switzerland",8849850
FALSE,"M",22,"Nathalie",0.73,22,31736,2102,6,8,TRUE,FALSE,FALSE,"DE","Neu-Ulm","Holzheim",333,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2015-04-06 14:52:17,1428331937,0,NA,NA,"und die Moral von der geschicht: fuck the World oder sie fickt dich ✌","4feb51b7ebf2c82f07002139","54fa217d190ba0a1618b4668",NA,"Germany",84482270
FALSE,"M",20,"brava ragazza",0.85,12,32450,787,10,3,TRUE,TRUE,TRUE,"CH","Zürich","Zürich",171,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,2015-04-26 10:04:30,1430042670,0,NA,NA,"nur ernstes gsuecht! wer spiele wot sell en böllehole und mier tschuttet!◻️◼️◻️◼️⚽️🇮🇹","4ff9f4aaebf2c827480007d9","54ce9b6d170ba0c7548b4bef",NA,"Switzerland",8849850
FALSE,"M",22,"Madeline",0.96,4,1710,116,1,1,FALSE,FALSE,TRUE,"DE","Emmendingen","Hinterzarten",190,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-08 14:49:55,1428504595,0,NA,NA,"Live your life, before somewhere catch it!","500aef142d15de056f000480","500aef252d15de2d6f00046e",NA,"Germany",84482270
FALSE,"M",25,"Lia",0.58,13,26842,643,1,4,FALSE,TRUE,TRUE,"CH","Rifferswil","Rifferswil",163,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-26 17:19:17,1430068757,0,NA,NA,"FCZ :-)","500ce1722d15de810c0004af","54e238cdcb6da1706f8b4b44",NA,"Switzerland",8849850
FALSE,"M",21,"Vanessa",0.69,5,31020,1195,0,3,TRUE,FALSE,TRUE,"DE","Pulheim","Pulheim",499,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2015-04-06 14:57:34,1428332254,0,NA,NA,"😁😁","500ebac6a9d0b30634000f91","53d7e6c8170ba055398b54ea",NA,"Germany",84482270
FALSE,"M",22,"Je** 🌸",1,2,20266,1148,0,4,TRUE,TRUE,TRUE,"DE","Müllheim","Mülheim",162,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,2015-04-25 04:36:43,1429936603,0,NA,NA,"✨🌸","501960390c84d34875000394","552e5bbd066ea1933e8b490b",NA,"Germany",84482270
FALSE,"M",20,"Jey",0.04,4,16683,647,0,0,TRUE,FALSE,FALSE,"CH","Utzenstorf","Utzenstorf",95.8,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2015-04-26 10:26:08,1430043968,0,NA,NA,"️♡ Insta: lemejey","501a62870c84d32d75000d89","55146fb7ea6da11d158b463a",NA,"Switzerland",8849850
FALSE,"M",25,"tina",0.92,7,3413,86,0,1,TRUE,FALSE,TRUE,"CH","Zweisimmen","Blankenburg",57.8,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-25 18:11:13,1429985473,0,NA,NA,"schreibt mir einfach!ich bin lieb!:-)","5038fbd96f37f3d14400004c","503cbfc7ca61bea1590000bf",NA,"Switzerland",8849850
FALSE,"M",19,"mel",0.81,13,8310,143,2,0,TRUE,FALSE,FALSE,"CH","Härkingen","Härkingen",125,0,0,0,0,0,0,0,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-26 08:07:07,1430035627,0,NA,NA,"I need a hero","503bd4834ea6e89a5a000123","52dd7bd9c56da1966f61cfd3",NA,"Switzerland",8849850
FALSE,"M",21,"debora",0.62,1,25903,982,0,12,TRUE,TRUE,TRUE,"CH","Bâle","Basel",137,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-08 15:09:19,1428505759,0,NA,NA,"Deb.","503fc2b8a9d0b3b2480000a8","550f31ca1c0ba0785b8b4a90",NA,"Switzerland",8849850
FALSE,"M",21,"MISHEffect",0.85,27,33018,812,36,5,TRUE,TRUE,TRUE,"CH","Marbach","Marbach (LU)",103,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2015-04-25 21:35:40,1429997740,0,NA,NA,"✌️✌️","50421dc94ea6e83e24000000","550db26a086ea18e4f8b4678",NA,"Switzerland",8849850
FALSE,"M",22,"rebekka1992",0,15,2502,25,0,0,TRUE,FALSE,FALSE,"DE","Maulburg","Maulburg",152,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-06 18:52:15,1428346335,0,NA,"spanisch.. freundlich . humorvoll   trotzallem auch sehr viel temparament",NA,"50425e986f37f30f26000008","54b8170ae96da129508b4b1a",NA,"Germany",84482270
FALSE,"M",24,"🍒SweeT_Cherry🍒",0.19,5,22847,1282,63,7,TRUE,FALSE,FALSE,"US","New York","Untersiggenthal",164,0,0,0,1,0,0,0,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,2015-04-07 20:21:17,1428438077,0,NA,NA,"♪☆♪☆♪(｡-_-｡)♪☆♪☆ fuck off!!","5043944e6f37f35f6600002d","525aaeb8190ba0d743a9b637",NA,"United States of America",334914900
FALSE,"none",21,"JayJay",1,13,7407,125,0,0,TRUE,TRUE,TRUE,"CH","Luzern","Emmen",142,0,0,0,1,0,0,0,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-25 13:18:14,1429967894,0,NA,"It's time to be me ✌️","Vie ton rêve","50450b930c84d3d40e0000b6","54ad5e03190ba0cb108b45d0",NA,"Switzerland",8849850
FALSE,"both",19,"ॐ Mish  Ganja-Girl ॐ",0.88,30,16096,533,6,2,TRUE,TRUE,FALSE,"CH","Oftringen","Winznau",136,0,0,0,1,0,1,0,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,2015-04-26 11:50:47,1430049047,0,NA,NA,"High sein heisst Frei sein 💋❤!! Folget uf Insta MINIMALISTICA_x3 sueche kei ons oder so.","504b834fa9d0b30a5e000305","55336759076ea11d208b483c",NA,"Switzerland",8849850
FALSE,"M",22,"I_love_soccer",0.88,9,15457,431,0,6,TRUE,TRUE,TRUE,"CH","Radelfingen bei Aarberg","Lyss",79.9,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-06 11:59:59,1428321599,0,NA,NA,"Fight for your dreams and never give up😛💪","5055c9d1ebf2c85e20000073","5411f8c8180ba0184a8b4aac",NA,"Switzerland",8849850
FALSE,"M",20,"😊Nadine Jennifer 😊",1,18,6962,361,0,0,TRUE,TRUE,TRUE,"DE","Lörrach","Lörrach",144,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-26 08:18:01,1430036281,0,NA,NA,"Suche den Mann fürs Leben.Nicht für eine Nacht","505b77bfa9d0b35a7f000059","552aa2c1ea6da1bd358b4851",NA,"Germany",84482270
FALSE,"both",22,"🌸Joya Tiffany🌸",0.69,30,30863,1901,121,0,FALSE,FALSE,TRUE,"CH","Frauenfeld","Opfikon",177,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-08 15:09:04,1428505744,0,NA,NA,"Facebook; Joya Tiffany Kuhn","505c1fb6883fa981430003eb","550c6869160ba0f7318b4771",NA,"Switzerland",8849850
FALSE,"M",24,"Vanessa",0.85,3,51339,2926,1,43,TRUE,FALSE,FALSE,"CH","Erlinsbach","Erlinsbach (AG)",143,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-08 10:38:36,1428489516,0,NA,NA,"✨💗✨","505e2cb5883fa927490000de","552025c01c0ba01e1b8b4588",NA,"Switzerland",8849850
FALSE,"M",21,"Susanne",0.96,7,3471,38,4,0,FALSE,FALSE,TRUE,"CH","Wetzikon","Uster",183,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-08 15:14:36,1428506076,0,NA,NA,"SC Rapperswil Jona ⚪🔵","5061efafca61bef159000003","5465e30f170ba051228b4c6b",NA,"Switzerland",8849850
FALSE,"M",25,"meli",0.85,18,12050,478,7,4,FALSE,TRUE,TRUE,"CH","Zug","Zug",162,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-07 20:11:54,1428437514,0,NA,NA,"Never give up!
Makes struggles that what you joy and you Happy!!😉👍😃","50770cf26f37f3186400009c","5522e5cfca6da1791c8b4688",NA,"Switzerland",8849850
FALSE,"M",24,"LittleLady",1,12,26982,710,0,1,TRUE,FALSE,TRUE,"CH","Emmenbrücke","Emmen",138,0,0,0,0,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2015-04-08 14:22:46,1428502966,0,NA,NA,"Sorry I’m not perfect but I’m definitely not fake!","508103fb883fa9e833000226","527629ff1a0ba0b97008fc9b",NA,"Switzerland",8849850
FALSE,"M",24,"sase",0.96,7,1820,25,0,0,TRUE,TRUE,FALSE,"CH","Olten","Rothrist",128,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-26 11:45:05,1430048705,0,NA,NA,"take me or leave me, but when you leave then go forever..!","5081f53b0c84d34f350003ac","55388b1bca6da1d50b8b4a45",NA,"Switzerland",8849850
FALSE,"none",22,"Blüemli Debbie",0.96,18,11507,194,58,0,TRUE,FALSE,FALSE,"CH","Lyssach","Bern",76.9,0,0,0,0,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2015-04-08 10:14:15,1428488055,0,NA,NA,"uf nes hey debbie oder geiz guet schribi nid zrug chöit nech ja wou 2 ganzi sätz überlege!","508759df2d15de2f3a000153","54a47c42086ea12b6b8b528c",NA,"Switzerland",8849850
FALSE,"M",21,"Meyo",0.92,10,17655,468,0,2,TRUE,TRUE,TRUE,"CH","Langenthal","Kriens",138,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2015-04-26 10:22:03,1430043723,0,NA,NA,"are you the one ?","5095ab72a9d0b35655000043","553157bec76da13a558b4bb3",NA,"Switzerland",8849850
FALSE,"M",21,"Paola",0.81,11,47000,1469,82,7,TRUE,FALSE,FALSE,"DE","Lörrach (Baden-Württemberg, Germany)","Lörrach",144,0,0,0,1,0,0,0,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,2015-04-07 21:42:20,1428442940,0,NA,NA,"Italia ❤️","509e925c1b0ba0713600001f","54df3f03180ba0542a8b47fd",NA,"Germany",84482270
FALSE,"M",19,"Selina",0.77,8,12754,368,2,2,TRUE,TRUE,TRUE,"CH","Olten","Aarau",144,0,0,0,1,0,1,0,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,1,2015-04-08 15:00:57,1428505257,0,NA,NA,"La vida tiene su propia manera.","509fd03890c8fd376b000007","548c21261a0ba0a85a8b4866",NA,"Switzerland",8849850
FALSE,"M",19,"...",0.12,3,7694,143,14,0,TRUE,TRUE,TRUE,"CH","Oberwil (BL)","Basel",135,0,0,0,1,0,0,0,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-26 01:17:35,1430011055,0,NA,NA,NA,"50a2cd101b0ba03874000031","550b3d02c66da1485a8b477d",NA,"Switzerland",8849850
FALSE,"M",25,"fabienne",0.92,20,4372,134,16,0,TRUE,FALSE,FALSE,"CH","Kriens","Luzern",139,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-26 10:33:15,1430044395,0,NA,NA,":-)","50a44709ca61be6127000084","53c84ea3cb6da1dd7e8b4d55",NA,"Switzerland",8849850
FALSE,"M",22,"Balu🐾",0.19,5,9700,124,0,3,TRUE,FALSE,FALSE,"CH","Wallisellen","Baltenswil",183,0,0,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,2015-04-08 10:30:12,1428489012,0,NA,NA,"🐾🐣🐾","50a88f797acab1596d00006c","54b245ed160ba0a9278b4a68",NA,"Switzerland",8849850
